whacking_curvature v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 380.8 MB
whacking_curvature v1 1 games, 691 moves, e=1.000, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -4.725, 0.039 sec/game, 0.0 min. total, 384.8 MB
whacking_curvature v1 2 games, 1329 moves, e=1.000, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -6.102, 0.036 sec/game, 0.0 min. total, 386.4 MB
whacking_curvature v1 3 games, 2073 moves, e=1.000, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -5.253, 0.037 sec/game, 0.0 min. total, 388.3 MB
whacking_curvature v1 4 games, 2791 moves, e=1.000, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -5.259, 0.036 sec/game, 0.0 min. total, 389.4 MB
whacking_curvature v1 5 games, 3412 moves, e=1.000, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -5.797, 0.036 sec/game, 0.0 min. total, 391.2 MB
whacking_curvature v1 6 games, 4151 moves, e=1.000, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -5.456, 0.036 sec/game, 0.0 min. total, 392.5 MB
whacking_curvature v1 7 games, 4966 moves, e=1.000, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -5.035, 0.037 sec/game, 0.0 min. total, 394.4 MB
whacking_curvature v1 8 games, 5578 moves, e=0.999, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -5.117, 0.036 sec/game, 0.0 min. total, 395.7 MB
whacking_curvature v1 9 games, 6336 moves, e=0.999, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -4.990, 0.036 sec/game, 0.0 min. total, 397.8 MB
whacking_curvature v1 10 games, 7017 moves, e=0.999, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -5.119, 0.036 sec/game, 0.0 min. total, 399.4 MB
whacking_curvature v1 11 games, 7712 moves, e=0.999, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -5.261, 0.036 sec/game, 0.0 min. total, 400.9 MB
whacking_curvature v1 12 games, 8479 moves, e=0.999, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -5.051, 0.036 sec/game, 0.0 min. total, 402.9 MB
whacking_curvature v2 13 games, 9277 moves, e=0.999, loss: nan, +, 52.3% elo% vs. guard_bot, avg. reward: -4.862, 0.037 sec/game, 0.0 min. total, 404.1 MB
whacking_curvature v2 14 games, 9891 moves, e=0.999, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: -5.020, 0.036 sec/game, 0.0 min. total, 406.0 MB
whacking_curvature v2 15 games, 10566 moves, e=0.999, loss: 132.3, +, 56.6% elo% vs. guard_bot, avg. reward: -5.063, 0.071 sec/game, 0.0 min. total, 426.2 MB
whacking_curvature v2 16 games, 11188 moves, e=0.999, loss: 132.5, +, 58.5% elo% vs. guard_bot, avg. reward: -5.107, 0.100 sec/game, 0.0 min. total, 429.5 MB
whacking_curvature v2 17 games, 11799 moves, e=0.999, loss: 133.7, +, 60.4% elo% vs. guard_bot, avg. reward: -5.295, 0.124 sec/game, 0.0 min. total, 432.4 MB
whacking_curvature v2 18 games, 12488 moves, e=0.999, loss: 135.1, +, 62.1% elo% vs. guard_bot, avg. reward: -5.327, 0.144 sec/game, 0.0 min. total, 433.3 MB
whacking_curvature v2 19 games, 13276 moves, e=0.999, loss: 132.9, +, 63.7% elo% vs. guard_bot, avg. reward: -5.273, 0.168 sec/game, 0.1 min. total, 435.1 MB
whacking_curvature v2 20 games, 13934 moves, e=0.999, loss: 133.0, +, 65.2% elo% vs. guard_bot, avg. reward: -5.353, 0.184 sec/game, 0.1 min. total, 436.3 MB
whacking_curvature v2 21 games, 14647 moves, e=0.999, loss: 134.4, +, 66.7% elo% vs. guard_bot, avg. reward: -5.334, 0.211 sec/game, 0.1 min. total, 437.2 MB
whacking_curvature v2 22 games, 15294 moves, e=0.998, loss: 132.3, +, 68.0% elo% vs. guard_bot, avg. reward: -5.394, 0.237 sec/game, 0.1 min. total, 436.3 MB
whacking_curvature v2 23 games, 16008 moves, e=0.998, loss: 130.8, +, 69.3% elo% vs. guard_bot, avg. reward: -5.406, 0.264 sec/game, 0.1 min. total, 437.6 MB
whacking_curvature v2 24 games, 16585 moves, e=0.998, loss: 130.2, +, 70.5% elo% vs. guard_bot, avg. reward: -5.566, 0.282 sec/game, 0.1 min. total, 437.6 MB
whacking_curvature v3 25 games, 17321 moves, e=0.998, loss: 130.9, -, 47.7% elo% vs. random_no_suicide, avg. reward: -5.510, 0.310 sec/game, 0.1 min. total, 437.7 MB
whacking_curvature v3 26 games, 18106 moves, e=0.998, loss: 129.9, -, 45.5% elo% vs. random_no_suicide, avg. reward: -5.464, 0.338 sec/game, 0.1 min. total, 438.0 MB
whacking_curvature v3 27 games, 18824 moves, e=0.998, loss: 129.2, -, 43.4% elo% vs. random_no_suicide, avg. reward: -5.436, 0.365 sec/game, 0.1 min. total, 438.5 MB
